0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone_pop,Black-alone_pop,Native_American-American_Indian-alone_pop,Asian-alone_pop,Hawaiian-Pacific_Islander-alone_pop,Two_or_more_races_pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_death_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less_than_a_high_school_diploma_2014-18,High_school_diploma_only_2014-18,Some_college_or_associate's_degree_2014-18,Bachelor's_degree_or_higher_2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active_Physicians_per_100000_Population_2018_(AAMC),Total_Active_Patient_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Patient_Care_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_General_Surgeons_per_100000_Population_2018_(AAMC),Active_Patient_Care_General_Surgeons_per_100000_Population_2018_(AAMC),Total_nurse_practitioners_(2019),Total_physician_assistants_(2019),Total_Hospitals_(2019),Internal_Medicine_Primary_Care_(2019),Family_Medicine-General_Practice_Primary_Care_(2019),Total_Specialist_Physicians_(2019),ICU_Beds_x,Total_Population,Population_Aged_60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,county_pop2018_18_and_older,anycondition_prevalence,Obesity_prevalence,Obesity_number,Heart_disease_prevalence,Heart_disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
36179.0,36896.0,35589.0,34363.0,34061.0,38394.0,34718.0,21439.0,12442.0,227365.0,38708.0,1553.0,8150.0,157.0,8148.0,284081.0,-659.0,4743.0,9.8,1.5,-6.6,-5.1,23963.0,62181.0,64375.0,43910.0,45006.0,16.1,27.2,25.3,53795.0,51486.0,56104.0,141196.0,133101.0,8095.0,5.7,53795.0,82.7,284.4,240.5,99.6,87.2,7.0,5.8,110.6573385,55.56278212,4.169438305,215.1831502,134.9827781,476.7875332,87.0,287512.0,65218.0,536.0,13.0,17.0,217591.0,42.7,32.9,71587.0,7.8,16890.0,8.6,18791.0,11.9,25818.0,3.3,7194.0,3.0
1177.0,1243.0,1004.0,955.0,1121.0,1202.0,1027.0,719.0,310.0,8464.0,135.0,31.0,28.0,1.0,99.0,8758.0,-20.0,90.0,9.2,-0.2,-5.8,-6.0,875.0,2480.0,1809.0,636.0,1038.0,12.0,16.3,14.8,56769.0,51081.0,62457.0,4089.0,3919.0,170.0,4.2,56769.0,113.1,230.9,214.6,77.3,72.9,8.3,7.6,5.750595403,1.932545013,0.205798404,3.87096998,3.72397112,12.65366187,0.0,8700.0,1996.0,389.0,17.0,21.0,6520.0,51.0,38.7,2523.0,9.8,640.0,11.9,775.0,14.0,914.0,3.3,217.0,4.0
269.0,260.0,145.0,218.0,185.0,274.0,336.0,176.0,89.0,1854.0,8.0,54.0,5.0,1.0,30.0,1952.0,15.0,2.0,2.6,0.0,-1.5,-1.5,135.0,415.0,516.0,245.0,198.0,10.2,12.9,12.0,68243.0,60694.0,75792.0,873.0,837.0,36.0,4.1,68243.0,104.6,237.6,217.1,87.0,79.6,10.5,9.7,1.173649512,0.582972515,0.100158273,0.901424461,1.507510423,2.319049254,0.0,1822.0,608.0,1270.0,34.0,38.0,1461.0,48.6,36.9,539.0,8.9,130.0,7.6,111.0,12.2,178.0,3.3,48.0,4.0
19474.0,20336.0,21530.0,21389.0,22063.0,24637.0,26324.0,15745.0,8956.0,159858.0,13771.0,301.0,2044.0,59.0,4421.0,180454.0,-2856.0,3338.0,13.7,0.1,-12.3,-12.2,15894.0,50266.0,34460.0,33388.0,30248.0,17.1,26.0,22.7,41926.0,39988.0,43864.0,82263.0,78000.0,4263.0,5.2,41926.0,95.2,263.4,231.6,100.1,89.4,10.5,9.2,94.1326037,66.75220729,5.595993426,97.53017113,124.0112115,280.0994566,156.0,187827.0,49628.0,1785.0,48.0,54.0,144442.0,52.2,37.4,54021.0,10.5,15219.0,12.1,17475.0,14.7,21166.0,3.6,5256.0,4.0
1486.0,1569.0,1242.0,1251.0,1260.0,1725.0,1699.0,1024.0,708.0,11710.0,103.0,18.0,42.0,2.0,89.0,11964.0,-72.0,95.0,9.4,0.2,-8.3,-8.2,645.0,3627.0,2650.0,1412.0,1019.0,8.6,11.9,11.1,64190.0,58883.0,69497.0,6407.0,6234.0,173.0,2.7,64190.0,106.9,218.2,193.1,84.8,77.9,6.9,6.5,7.285726099,3.23346741,0.447302643,4.844515065,8.191703486,15.49259239,0.0,12140.0,3281.0,589.0,15.0,19.0,9149.0,42.4,35.0,3202.0,8.0,734.0,7.5,685.0,11.2,1022.0,3.1,287.0,6.0
89.0,108.0,67.0,84.0,72.0,117.0,152.0,85.0,52.0,769.0,7.0,14.0,5.0,0.0,31.0,826.0,6.0,89.0,2.4,0.0,-3.6,-3.6,30.0,229.0,165.0,148.0,150.0,18.9,32.6,31.4,38782.0,34598.0,42966.0,369.0,352.0,17.0,4.6,38782.0,70.2,247.1,236.2,91.5,88.0,9.8,9.4,0.391887452,0.304023797,0.04354305,0.267478737,0.456424473,0.895742748,0.0,747.0,281.0,1040.0,26.0,30.0,651.0,41.9,31.5,205.0,9.1,59.0,7.9,52.0,12.3,80.0,3.6,23.0,4.0
2114.0,2266.0,2440.0,2421.0,2298.0,2625.0,2570.0,1455.0,913.0,18188.0,542.0,69.0,95.0,7.0,201.0,19102.0,114.0,1514.0,9.5,0.0,4.9,4.9,1434.0,6388.0,3732.0,2028.0,2167.0,12.4,16.4,14.5,52332.0,47744.0,56920.0,9323.0,8979.0,344.0,3.7,52332.0,93.9,230.8,212.0,80.3,74.4,6.5,6.1,9.856606172,2.412056825,0.376794676,7.510202965,9.485520507,24.85132156,4.0,19229.0,4691.0,52.0,14.0,18.0,15089.0,46.3,34.7,5236.0,8.6,1293.0,10.4,1575.0,13.0,1963.0,3.2,486.0,6.0
78747.0,85588.0,95507.0,97313.0,81193.0,86148.0,80603.0,48038.0,25564.0,571760.0,23386.0,42255.0,19454.0,1017.0,20829.0,678701.0,15.0,11913.0,8.7,1.2,-3.3,-2.0,51916.0,107599.0,146410.0,157155.0,109959.0,16.5,22.2,21.5,51372.0,49762.0,52982.0,329380.0,314530.0,14850.0,4.5,51372.0,108.4,244.8,213.8,91.1,82.1,7.7,7.3,331.0218352,172.3127361,13.27974094,317.094302,367.6220968,937.3553727,138.0,674855.0,140933.0,1133.0,31.0,35.0,531331.0,37.5,27.3,145053.0,6.2,32977.0,6.0,31913.0,11.4,60774.0,3.2,16872.0,3.0
61097.0,66378.0,74304.0,86547.0,74852.0,81341.0,73792.0,40954.0,20968.0,532081.0,8173.0,6944.0,17749.0,678.0,14608.0,580233.0,4416.0,8757.0,7.9,0.8,4.3,5.1,22840.0,84351.0,121561.0,180236.0,39799.0,7.0,8.0,7.7,85550.0,82944.0,88156.0,334242.0,324124.0,10118.0,3.0,85550.0,118.9,285.7,262.5,95.4,88.9,7.8,7.1,294.9268123,228.9121062,9.066834645,254.9919901,277.4043903,742.56357,94.0,564029.0,124374.0,36.0,5.0,8.0,465718.0,29.9,22.3,103855.0,5.1,23840.0,5.1,23563.0,7.3,33878.0,2.5,11726.0,2.0
5585.0,5999.0,5666.0,5255.0,4756.0,4875.0,4257.0,2782.0,1396.0,26715.0,12422.0,190.0,664.0,25.0,555.0,40571.0,133.0,1554.0,10.1,0.1,-0.1,-0.1,4705.0,8886.0,7942.0,4257.0,7636.0,19.6,30.4,30.0,45680.0,41914.0,49446.0,19337.0,18561.0,776.0,4.0,45680.0,77.9,228.7,202.9,79.1,71.9,7.0,6.1,18.57025802,12.83141193,0.559228954,19.1989085,13.15537905,49.32013698,20.0,40531.0,8091.0,429.0,10.0,13.0,30551.0,48.8,36.8,11243.0,8.0,2457.0,9.4,2860.0,14.2,4348.0,3.6,1092.0,5.0
