0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone_pop,Black-alone_pop,Native_American-American_Indian-alone_pop,Asian-alone_pop,Hawaiian-Pacific_Islander-alone_pop,Two_or_more_races_pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less_than_a_high_school_diploma_2014-18,High_school_diploma_only_2014-18,Some_college_or_associate's_degree_2014-18,Bachelor's_degree_or_higher_2014-18,POVALL_2018,PCTPOVALL_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active_Physicians_per_100000_Population_2018_(AAMC),Total_Active_Patient_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Patient_Care_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_General_Surgeons_per_100000_Population_2018_(AAMC),Total_nurse_practitioners_(2019),Total_physician_assistants_(2019),Total_Hospitals_(2019),Internal_Medicine_Primary_Care_(2019),Family_Medicine-General_Practice_Primary_Care_(2019),Total_Specialist_Physicians_(2019),ICU_Beds_x,Total_Population,Population_Aged_60+,STATE_NAME,STATE_FIPS,county_pop2018_18_and_older,anycondition_prevalence,Obesity_prevalence,Obesity_number,Heart_disease_prevalence,Heart_disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
0.14822825586746433,0.14600879088446417,0.11974796373136623,0.12543259333444612,0.1292815658297892,0.15584839792991517,0.16581384804715332,0.16564852003105066,0.1582550027838732,0.15913463580545037,0.019810710716595143,0.2311015118790497,0.03581849280611732,0.055837563451776644,0.10820624546114742,0.14602874130895943,0.157919621749409,0.04745683072947257,0.3846153846153846,0.11513157894736842,0.16406890894175552,0.16654109476856552,0.1594622117541218,0.1476609985176938,0.11709799135345131,0.1628146533187987,0.4654654654654655,0.4884369686865519,0.5131930967563072,0.46672123517421793,0.14642231600230401,0.14332806391921865,0.22175213363483845,0.7439024390243902,0.4884369686865519,0.5104347826086959,0.5039494470774091,0.5293286219081272,0.5183413078149919,0.4835164835164836,0.4181818181818182,0.12399377630895506,0.1980297227832204,0.11123869328752015,0.19513854344763723,0.19226759100233284,0.1913616493050871,0.0,0.14539521342092615,0.16855651073255631,0.44,0.45454545454545453,0.1446212414436674,0.5822784810126582,0.6254545454545455,0.15985036145796472,0.5833333333333333,0.17919125303713987,0.5693430656934307,0.1839126275510204,0.4779874213836477,0.15930883081934707,0.5757575757575758,0.16353473516103276,1.0000000000000002
0.24261389783709159,0.24247662615551643,0.2105220019466216,0.23724475602292328,0.26871541592353776,0.3213735237375851,0.35628386985340155,0.3236693779742819,0.38358497363508337,0.3123541876749158,0.034859796602198574,0.05885529157667387,0.09296709930576517,0.11167512690355329,0.15710481723553618,0.28162410682103955,0.0,0.20392341125337718,0.0,0.0,0.0,0.2561011563533921,0.4618431492599789,0.23372537850591302,0.231789388639157,0.3015071356422078,0.4504504504504505,0.4275201795942622,0.4453250623787081,0.41112555571605114,0.2635625198368383,0.26122814112226267,0.32212415201692324,0.5975609756097562,0.4275201795942622,0.3913043478260871,0.6803580832016849,0.6961130742049473,0.5661881977671448,0.4945054945054945,0.5636363636363635,0.2956117042138462,0.44621754994071094,0.23145237911226166,0.41088014705225073,0.3458955597526674,0.3795356093571638,0.2222222222222222,0.2925633365051795,0.3568963193455573,0.76,0.7454545454545454,0.29137747897258615,0.5063291139240507,0.4290909090909092,0.2767908599160811,0.49999999999999994,0.3287920860812218,0.46715328467153294,0.3260522959183673,0.4402515723270439,0.30621060831385877,0.484848484848485,0.30896992281075325,0.8
0.18016566958122412,0.21578775389739752,0.25416730700271506,0.19371279140933623,0.20336580235057394,0.2079475741831433,0.186929205259408,0.18272638293563737,0.20450004912717387,0.22165203889482318,0.08435718064781612,0.07289416846652268,0.1585672602877553,0.09137055837563451,0.13289760348583876,0.20740736664566417,0.1598108747044917,0.7865617291201692,0.15384615384615383,0.07894736842105263,0.09844134536505332,0.17518917679431323,0.2710182865496711,0.18743082031730413,0.13696958236997944,0.159134322088988,0.3663663663663664,0.5458014889156666,0.5539887718325478,0.540485017734765,0.1984506694565588,0.19907356347193117,0.18586330148077906,0.4634146341463415,0.5458014889156666,0.5913043478260871,0.2080042127435493,0.2628975265017668,0.23923444976076547,0.241758241758242,0.16363636363636358,0.20548642469486783,0.09365245584767383,0.2164978738263784,0.14663853062415308,0.22489415990908737,0.17388356297429486,0.16666666666666666,0.20759110054752436,0.18824604890740643,0.28,0.3090909090909091,0.2141429351600982,0.5139240506329115,0.4472727272727275,0.20652140943329458,0.324074074074074,0.1922075668170774,0.416058394160584,0.22201849489795916,0.3836477987421383,0.20888039090715954,0.3030303030303031,0.1848283204684589,0.2
0.5137137597791073,0.533187169946559,0.475180574765637,0.5050242029711234,0.5231627566652948,0.5209917625322813,0.4650992076343459,0.45428465354888786,0.455638161988668,0.4354005188283729,0.06907295279525014,1.0,0.5513633162289969,0.4010152284263959,1.0,0.5056885560284936,0.4775413711583924,0.19045381573280082,0.1282051282051282,0.12171052631578948,0.13781788351107466,0.31447571002718905,0.499028507525162,0.549967958883804,0.5089258854976922,0.35423188086927826,0.2942942942942943,0.6399696274409468,0.6566918491821458,0.6284751312051615,0.5265372815008993,0.5307280369594255,0.4327084397111387,0.4024390243902439,0.6399696274409468,0.7730434782608695,0.0810953133228014,0.10106007067137801,0.1371610845295057,0.13369963369963367,0.10909090909090913,0.27820965308403356,0.5908788586652837,0.8483128858388581,0.3042674424422376,0.6326795841610752,0.385237564234342,0.16666666666666666,0.4987638110355316,0.45595344830617235,0.72,0.7090909090909091,0.4978217030835494,0.5113924050632912,0.5490909090909091,0.5198928264496233,0.3703703703703704,0.4752690038181187,0.33576642335766427,0.45511798469387754,0.320754716981132,0.44767367750159337,0.3333333333333335,0.4503593292520628,0.4000000000000001
0.7684307409111827,0.7448429973332209,0.7082014241073716,0.7113781783786791,0.7244249325467601,0.7336347953902845,0.7292786665803053,0.6796044415943838,0.7911440081223594,0.689698786935845,0.8820175180765387,0.5653347732181426,1.0,0.3096446700507614,1.0,0.7395755663105414,0.12198581560283688,0.6775519793257371,0.5897435897435896,0.0,0.0,0.5319225603564058,0.826949388678208,0.7897520211795014,0.6641512028672849,0.9041613745237072,0.5195195195195196,0.4625410607286113,0.47451829775436655,0.4521867526923139,0.7389883506330155,0.7379508106319621,0.7720475599970823,0.5121951219512196,0.4625410607286113,0.4808695652173914,0.5039494470774091,0.5293286219081272,0.5183413078149919,0.4835164835164836,0.4181818181818182,0.6274031480698361,1.0,0.5634908817187702,0.9875515847652175,0.9726500068933209,0.9682027471013912,0.8888888888888888,0.7438076282208436,0.7313257036372907,0.44,0.45454545454545453,0.7323884915227576,0.5392405063291139,0.5854545454545454,0.7857438956574491,0.425925925925926,0.7531239153071849,0.44525547445255476,0.7967952806122448,0.40251572327044016,0.7351320727993768,0.4545454545454547,0.7425073196699495,0.6000000000000001
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.0,0.06890894175553733,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.30330330330330335,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.29268292682926833,1.0,1.0,0.4649815692469721,0.4876325088339226,0.49282296650717683,0.47435897435897423,0.290909090909091,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,0.08,0.09090909090909091,1.0000000000000002,0.0,0.0,1.0,0.07407407407407407,0.9999999999999999,0.021897810218978075,0.9999999999999999,0.16981132075471694,0.9999999999999999,0.12121212121212122,1.0,0.0
0.11205706396686609,0.10675548903247567,0.10011782183289791,0.10112947198575642,0.1080623770979101,0.1198362713975114,0.11416974329080035,0.12285261061797563,0.10480463760521404,0.08861299147504259,0.33648815472341426,0.03941684665226782,0.054733876647550056,0.07106598984771573,0.05954974582425562,0.11121780497401286,0.0,0.01393946513175927,0.02564102564102564,0.0,0.0,0.17394437710878893,0.14786677745637655,0.10615642537656403,0.05053847542265808,0.1651348621375924,0.6156156156156157,0.46643667156369156,0.4806868588855004,0.45404850177347644,0.10793591084884034,0.10756957464799088,0.11787876577430886,0.5365853658536587,0.46643667156369156,0.46,0.1969457609268035,0.19858657243816258,0.22009569377990412,0.19597069597069616,0.25454545454545463,0.09779920334653557,0.12610180671469542,0.08104014917649227,0.09466952375994997,0.07866896707705173,0.087103960903489,0.0,0.11487900584090628,0.11963738433861318,0.2,0.21818181818181817,0.11078650215885573,0.49113924050632907,0.4181818181818182,0.1043425509327132,0.49074074074074076,0.12374175633460605,0.5182481751824818,0.13249362244897958,0.591194968553459,0.13749734438070957,0.6060606060606063,0.12882619110992816,0.6000000000000001
0.016612977450529223,0.01694933119709922,0.011351877465293786,0.015089300617593056,0.012941875886038323,0.012943133912439902,0.015415506185633785,0.015255324175638732,0.024105066649199227,0.016417504243600778,0.0012344953265534067,0.041036717062634995,0.008049099506992655,0.0,0.012345679012345678,0.014929192266315217,0.04160756501182033,0.015035827557852696,1.0,0.05921052631578947,0.29532403609515995,0.015330690863825465,0.01479417479367499,0.014706548686314236,0.01278932847430531,0.01104099368943205,0.30630630630630634,0.5245274921179908,0.5132208206265594,0.5368770764119601,0.018302789500288002,0.01852873056137642,0.013130060544168065,0.3536585365853659,0.5245274921179908,0.5469565217391306,0.2585571353343865,0.31307420494699656,0.43859649122807,0.43223443223443225,0.6545454545454543,0.015581106022153198,0.02504095136931727,0.05227485311666837,0.01019594387030119,0.02025959686986369,0.010388721975814875,0.0,0.014765013289897046,0.01652514811103493,0.8200000000000001,0.8181818181818181,0.014266298344494343,0.34683544303797476,0.32727272727272716,0.012436176128608261,0.3703703703703704,0.01371051718153419,0.1897810218978102,0.009646045918367346,0.26415094339622636,0.011613908363430353,0.36363636363636387,0.012989087037529944,1.0000000000000002
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9649028077753781,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.30769230769230765,0.03618421052631579,0.07547169811320754,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.1711711711711712,0.9924101616018224,1.0,0.9469241016258204,1.0,1.0,1.0,0.451219512195122,0.9924101616018224,1.0,0.6803580832016849,0.6961130742049473,0.5661881977671448,0.4945054945054945,0.5636363636363635,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0,1.0,0.76,0.7454545454545454,1.0000000000000002,0.3189873417721518,0.3054545454545454,1.0,0.23148148148148145,0.9999999999999999,0.2116788321167884,0.9999999999999999,0.28930817610062887,0.9999999999999999,0.24242424242424265,1.0,0.2
0.020892774965485503,0.022894245870708645,0.023236514522821577,0.028531686418516666,0.02071614761970092,0.021190809150019904,0.02189260962497571,0.02308549056667454,0.03406150722169456,0.024560183619307716,0.006583975074951502,0.07937365010799137,0.02173256866888017,0.0,0.02444928588719438,0.02340355868361173,0.0,0.08974509573593328,0.0,0.0,0.0,0.0440921151767288,0.034911253693858044,0.022189282084808627,0.013442546864121978,0.036603294296486684,0.7297297297297298,0.21298426899522954,0.21241682838924314,0.20967146548541898,0.019090385451809706,0.01879832849282502,0.02626012108833613,0.6707317073170732,0.21298426899522954,0.27913043478260874,0.281727224855187,0.27561837455830407,0.41148325358851645,0.38278388278388276,0.38181818181818183,0.022077695683259638,0.02148945459318385,0.024324727305668693,0.01962281970229116,0.027868804535840834,0.020862657140378174,0.0,0.024111571421250262,0.026299597419264104,0.62,0.6181818181818182,0.02366876454775375,0.5468354430379745,0.5200000000000002,0.024306152368434357,0.3518518518518518,0.02195418257549462,0.16788321167883213,0.015465561224489796,0.5157232704402515,0.02725019474541463,0.5757575757575758,0.026829917487356934,1.0000000000000002
